Mat 1:1  βίβλος@nnfsc γένεσις@ngfsc Ἰησοῦς@ngmsp Χριστός@ngmsp υἱός@ngmsc Δαυίδ@ngmsp υἱός@ngmsc Ἀβραάμ@ngmsp 
Mat 1:17  πᾶς@ainfpn οὖν@cc ὁ@dnfp γενεά@nnfpc ἀπό@pg Ἀβραάμ@ngmsp ἕως@pg Δαυίδ@ngmsp γενεά@nnfpc δεκατέσσαρες@acnfpn καί@cc ἀπό@pg Δαυίδ@ngmsp ἕως@pg ὁ@dgfs μετοικεσία@ngfsc Βαβυλών@ngfsp γενεά@nnfpc δεκατέσσαρες@acnfpn καί@cc ἀπό@pg ὁ@dgfs μετοικεσία@ngfsc Βαβυλών@ngfsp ἕως@pg ὁ@dgms Χριστός@ngmsp γενεά@nnfpc δεκατέσσαρες@acnfpn 
Mat 1:18  ὁ@dgms δέ@cc Ἰησοῦς@ngmsp Χριστός@ngmsp ὁ@dnfs γένεσις@nnfsc οὕτως@b εἰμί@viia3s μνηστεύω@vpapgfs ὁ@dgfs μήτηρ@ngfsc αὐτός@rpgms Μαρία@ngfsp ὁ@ddms Ἰωσήφ@ndmsp πρίν@cs ἤ@cc συνέρχομαι@vnaa αὐτός@rpamp εὑρίσκω@viap3s ἐν@pd γαστήρ@ndfsc ἔχω@vppanfs ἐκ@pg πνεῦμα@ngnsc ἅγιος@angnsn 
Mat 1:19  Ἰωσήφ@nnmsp δέ@cc ὁ@dnms ἀνήρ@nnmsc αὐτός@rpgfs δίκαιος@annmsn εἰμί@vppanms καί@cc μή@x θέλω@vppanms αὐτός@rpafs δειγματίζω@vnaa βούλομαι@viap3s λάθρᾳ@b ἀπολύω@vnaa αὐτός@rpafs 
Mat 1:20  οὗτος@rdanp δέ@cc αὐτός@rpgms ἐνθυμέομαι@vpapgms ἰδού@i ἄγγελος@nnmsc κύριος@ngmsc κατά@pa ὄναρ@nansc φαίνω@viap3s αὐτός@rpdms λέγω@vppanms Ἰωσήφ@nvmsp υἱός@nnmsc Δαυίδ@ngmsp μή@x φοβέω@vsap2s παραλαμβάνω@vnaa Μαρία@nafsp ὁ@dafs γυνή@nafsc σύ@rpg-s ὁ@dnns γάρ@cc ἐν@pd αὐτός@rpdfs γεννάω@vpapnns ἐκ@pg πνεῦμα@ngnsc εἰμί@vipa3s ἅγιος@angnsn 
Mat 1:21  τίκτω@vifm3s δέ@cc υἱός@namsc καί@cc καλέω@vifa2s ὁ@dans ὄνομα@nansc αὐτός@rpgms Ἰησοῦς@namsp αὐτός@rtnms γάρ@cc σῴζω@vifa3s ὁ@dams λαός@namsc αὐτός@rpgms ἀπό@pg ὁ@dgfp ἁμαρτία@ngfpc αὐτός@rpgmp 
Mat 1:22  οὗτος@rdnns δέ@cc ὅλος@annnsn γίνομαι@vixa3s ἵνα@cs πληρόω@vsap3s ὁ@dnns λέγω@vpapnns ὑπό@pg κύριος@ngmsc διά@pg ὁ@dgms προφήτης@ngmsc λέγω@vppagms 
Mat 1:23  ἰδού@i ὁ@dnfs παρθένος@nnfsc ἐν@pd γαστήρ@ndfsc ἔχω@vifa3s καί@cc τίκτω@vifm3s υἱός@namsc καί@cc καλέω@vifa3p ὁ@dans ὄνομα@nansc αὐτός@rpgms Ἐμμανουήλ@namsp ὅς@rrnns εἰμί@vipa3s μεθερμηνεύω@vpppnns μετά@pg ἐγώ@rpg-p ὁ@dnms θεός@nnmsc 
Mat 1:24  ἐγείρω@vpapnms δέ@cc ὁ@dnms Ἰωσήφ@nnmsp ἀπό@pg ὁ@dgms ὕπνος@ngmsc ποιέω@viaa3s ὡς@cs προστάσσω@viaa3s αὐτός@rpdms ὁ@dnms ἄγγελος@nnmsc κύριος@ngmsc καί@cc παραλαμβάνω@viaa3s ὁ@dafs γυνή@nafsc αὐτός@rpgms 
Mat 1:25  καί@cc οὐ@b γινώσκω@viia3s αὐτός@rpafs ἕως@pg ὅς@rrgns τίκτω@viaa3s υἱός@namsc καί@cc καλέω@viaa3s ὁ@dans ὄνομα@nansc αὐτός@rpgms Ἰησοῦς@namsp 
Mat 2:1  ὁ@dgms δέ@cc Ἰησοῦς@ngmsp γεννάω@vpapgms ἐν@pd Βηθλέεμ@ndfsp ὁ@dgfs Ἰουδαία@ngfsp ἐν@pd ἡμέρα@ndfpc Ἡρῴδης@ngmsp ὁ@dgms βασιλεύς@ngmsc ἰδού@i μάγος@nnmpc ἀπό@pg ἀνατολή@ngfpc παραγίνομαι@viam3p εἰς@pa Ἱεροσόλυμα@nanpp 
Mat 2:2  λέγω@vppanmp ποῦ@b εἰμί@vipa3s ὁ@dnms τίκτω@vpapnms βασιλεύς@nnmsc ὁ@dgmp Ἰουδαῖος@angmpn ὁράω@viaa1p γάρ@cc αὐτός@rpgms ὁ@dams ἀστήρ@namsc ἐν@pd ὁ@ddfs ἀνατολή@ndfsc καί@cc ἔρχομαι@viaa1p προσκυνέω@vnaa αὐτός@rpdms 
Mat 2:3  ἀκούω@vpaanms δέ@cc ὁ@dnms βασιλεύς@nnmsc Ἡρῴδης@nnmsp ταράσσω@viap3s καί@cc πᾶς@ainfsn Ἱεροσόλυμα@nnfsp μετά@pg αὐτός@rpgms 
Mat 2:4  καί@cc συνάγω@vpaanms πᾶς@aiampn ὁ@damp ἀρχιερεύς@nampc καί@cc γραμματεύς@nampc ὁ@dgms λαός@ngmsc πυνθάνομαι@viim3s παρά@pg αὐτός@rpgmp ποῦ@b ὁ@dnms Χριστός@nnmsp γεννάω@vipp3s 
Mat 2:5  ὁ@dnmp δέ@cc λέγω@viaa3p αὐτός@rpdms ἐν@pd Βηθλέεμ@ndfsp ὁ@dgfs Ἰουδαία@ngfsp οὕτως@b γάρ@cc γράφω@vixp3s διά@pg ὁ@dgms προφήτης@ngmsc 
Mat 2:6  καί@b σύ@rpn-s Βηθλέεμ@nvfsp γῆ@nvfsc Ἰούδας@ngmsp οὐδαμῶς@b ἐλαχύς@annfss εἰμί@vipa2s ἐν@pd ὁ@ddmp ἡγεμών@ndmpc Ἰούδας@ngmsp ἐκ@pg σύ@rpg-s γάρ@cc ἐξέρχομαι@vifm3s ἡγέομαι@vppmnms ὅστις@rrnms ποιμαίνω@vifa3s ὁ@dams λαός@namsc ἐγώ@rpg-s ὁ@dams Ἰσραήλ@namsp 
Mat 2:7  τότε@b Ἡρῴδης@nnmsp λάθρᾳ@b καλέω@vpaanms ὁ@damp μάγος@nampc ἀκριβόω@viaa3s παρά@pg αὐτός@rpgmp ὁ@dams χρόνος@namsc ὁ@dgms φαίνω@vppegms ἀστήρ@ngmsc 
Mat 2:8  καί@cc πέμπω@vpaanms αὐτός@rpamp εἰς@pa Βηθλέεμ@nafsp λέγω@viaa3s πορεύομαι@vpapnmp ἐξετάζω@vdaa2p ἀκριβῶς@b περί@pg ὁ@dgns παιδίον@ngnsc ἐπάν@cs δέ@cc εὑρίσκω@vsaa2p ἀπαγγέλλω@vdaa2p ἐγώ@rpd-s ὅπως@cs καί+ἐγώ@b&rpn-s ἔρχομαι@vpaanms προσκυνέω@vsaa1s αὐτός@rpdms 
Mat 2:9  ὁ@dnmp δέ@cc ἀκούω@vpaanmp ὁ@dgms βασιλεύς@ngmsc πορεύομαι@viap3p καί@cc ἰδού@i ὁ@dnms ἀστήρ@nnmsc ὅς@rrams ὁράω@viaa3p ἐν@pd ὁ@ddfs ἀνατολή@ndfsc προάγω@viia3s αὐτός@rpamp ἕως@cs ἔρχομαι@vpaanms ἵστημι@viap3s ἐπάνω@pg ὅς@b εἰμί@viia3s ὁ@dnns παιδίον@nnnsc 
Mat 2:10  ὁράω@vpaanmp δέ@cc ὁ@dams ἀστήρ@namsc χαίρω@viap3p χαρά@nafsc μέγας@anafsn σφόδρα@b 
Mat 2:11  καί@cc ἔρχομαι@vpaanmp εἰς@pa ὁ@dafs οἰκία@nafsc ὁράω@viaa3p ὁ@dans παιδίον@nansc μετά@pg Μαρία@ngfsp ὁ@dgfs μήτηρ@ngfsc αὐτός@rpgms καί@cc πίπτω@vpaanmp προσκυνέω@viaa3p αὐτός@rpdms καί@cc ἀνοίγω@vpaanmp ὁ@damp θησαυρός@nampc αὐτός@rpgmp προσφέρω@viaa3p αὐτός@rpdms δῶρον@nanpc χρυσός@namsc καί@cc λίβανος@namsc καί@cc σμύρνα@nafsc 
Mat 2:12  καί@cc χρηματίζω@vpapnmp κατά@pa ὄναρ@nansc μή@x ἀνακάμπτω@vnaa πρός@pa Ἡρῴδης@namsp διά@pg ἄλλος@aigfsn ὁδός@ngfsc ἀναχωρέω@viaa3p εἰς@pa ὁ@dafs χώρα@nafsc αὐτός@rpgmp 
Mat 2:13  ἀναχωρέω@vpaagmp δέ@cc αὐτός@rpgmp ἰδού@i ἄγγελος@nnmsc κύριος@ngmsc φαίνω@vipe3s κατά@pa ὄναρ@nansc ὁ@ddms Ἰωσήφ@ndmsp λέγω@vppanms ἐγείρω@vpapnms παραλαμβάνω@vdaa2s ὁ@dans παιδίον@nansc καί@cc ὁ@dafs μήτηρ@nafsc αὐτός@rpgms καί@cc φεύγω@vdpa2s εἰς@pa Αἴγυπτος@nafsp καί@cc εἰμί@vdpa2s ἐκεῖ@b ἕως@cs ἄν@x λέγω@vsaa1s σύ@rpd-s μέλλω@vipa3s γάρ@cc Ἡρῴδης@nnmsp ζητέω@vnpa ὁ@dans παιδίον@nansc ὁ@dgns ἀπόλλυμι@vnaa αὐτός@rpans 
Mat 2:14  ὁ@dnms δέ@cc ἐγείρω@vpapnms παραλαμβάνω@viaa3s ὁ@dans παιδίον@nansc καί@cc ὁ@dafs μήτηρ@nafsc αὐτός@rpgms νύξ@ngfsc καί@cc ἀναχωρέω@viaa3s εἰς@pa Αἴγυπτος@nafsp 
Mat 2:15  καί@cc εἰμί@viia3s ἐκεῖ@b ἕως@pg ὁ@dgfs τελευτή@ngfsc Ἡρῴδης@ngmsp ἵνα@cs πληρόω@vsap3s ὁ@dnns λέγω@vpapnns ὑπό@pg κύριος@ngmsc διά@pg ὁ@dgms προφήτης@ngmsc λέγω@vppagms ἐκ@pg Αἴγυπτος@ngfsp καλέω@viaa1s ὁ@dams υἱός@namsc ἐγώ@rpg-s 
Mat 2:16  τότε@b Ἡρῴδης@nnmsp ὁράω@vpaanms ὅτι@cs ἐμπαίζω@viap3s ὑπό@pg ὁ@dgmp μάγος@ngmpc θυμόω@viap3s λίαν@b καί@cc ἀποστέλλω@vpaanms ἀναιρέω@viaa3s πᾶς@aiampn ὁ@damp παῖς@nampc ὁ@damp ἐν@pd Βηθλέεμ@ndfsp καί@cc ἐν@pd πᾶς@aidnpn ὁ@ddnp ὅριον@ndnpc αὐτός@rpgfs ἀπό@pg διετής@angmsn καί@cc κατωτέρω@b κατά@pa ὁ@dams χρόνος@namsc ὅς@rrams ἀκριβόω@viaa3s παρά@pg ὁ@dgmp μάγος@ngmpc 
Mat 2:17  τότε@b πληρόω@viap3s ὁ@dnns λέγω@vpapnns διά@pg Ἰερεμίας@ngmsp ὁ@dgms προφήτης@ngmsc λέγω@vppagms 
Mat 2:18  φωνή@nnfsc ἐν@pd Ῥαμά@ndfsp ἀκούω@viap3s κλαυθμός@nnmsc καί@cc ὀδυρμός@nnmsc πολύς@annmsn Ῥαχήλ@nnfsp κλαίω@vppanfs ὁ@danp τέκνον@nanpc αὐτός@rpgfs καί@cc οὐ@b θέλω@viia3s παρακαλέω@vnap ὅτι@cs οὐ@b εἰμί@vipa3p 
Mat 2:19  τελευτάω@vpaagms δέ@cc ὁ@dgms Ἡρῴδης@ngmsp ἰδού@i ἄγγελος@nnmsc κύριος@ngmsc φαίνω@vipe3s κατά@pa ὄναρ@nansc ὁ@ddms Ἰωσήφ@ndmsp ἐν@pd Αἴγυπτος@ndfsp 
Mat 2:20  λέγω@vppanms ἐγείρω@vpapnms παραλαμβάνω@vdaa2s ὁ@dans παιδίον@nansc καί@cc ὁ@dafs μήτηρ@nafsc αὐτός@rpgms καί@cc πορεύομαι@vdpm2s εἰς@pa γῆ@nafsc Ἰσραήλ@ngmsp θνῄσκω@vixa3p γάρ@cc ὁ@dnmp ζητέω@vppanmp ὁ@dafs ψυχή@nafsc ὁ@dgns παιδίον@ngnsc 
Mat 2:21  ὁ@dnms δέ@cc ἐγείρω@vpapnms παραλαμβάνω@viaa3s ὁ@dans παιδίον@nansc καί@cc ὁ@dafs μήτηρ@nafsc αὐτός@rpgms καί@cc εἰσέρχομαι@viaa3s εἰς@pa γῆ@nafsc Ἰσραήλ@ngmsp 
Mat 2:22  ἀκούω@vpaanms δέ@cc ὅτι@cs Ἀρχέλαος@nnmsp βασιλεύω@vipa3s ὁ@dgfs Ἰουδαία@ngfsp ἀντί@pg ὁ@dgms πατήρ@ngmsc αὐτός@rpgms Ἡρῴδης@ngmsp φοβέω@viap3s ἐκεῖ@b ἀπέρχομαι@vnaa χρηματίζω@vpapnms δέ@cc κατά@pa ὄναρ@nansc ἀναχωρέω@viaa3s εἰς@pa ὁ@danp μέρος@nanpc ὁ@dgfs Γαλιλαία@ngfsp 
Mat 2:23  καί@cc ἔρχομαι@vpaanms κατοικέω@viaa3s εἰς@pa πόλις@nafsc λέγω@vpppafs Ναζαρά@nafsp ὅπως@cs πληρόω@vsap3s ὁ@dnns λέγω@vpapnns διά@pg ὁ@dgmp προφήτης@ngmpc ὅτι@cs Ναζωραῖος@nnmsp καλέω@vifp3s 
Mat 3:1  ἐν@pd δέ@cc ὁ@ddfp ἡμέρα@ndfpc ἐκεῖνος@rddfp παραγίνομαι@vipm3s Ἰωάννης@nnmsp ὁ@dnms βαπτιστής@nnmsc κηρύσσω@vppanms ἐν@pd ὁ@ddfs ἔρημος@ndfsc ὁ@dgfs Ἰουδαία@ngfsp 
Mat 3:2  καί@cc λέγω@vppanms μετανοέω@vdpa2p ἐγγίζω@vixa3s γάρ@cc ὁ@dnfs βασιλεία@nnfsc ὁ@dgmp οὐρανός@ngmpc 
Mat 3:3  οὗτος@rdnms γάρ@cc εἰμί@vipa3s ὁ@dnms λέγω@vpapnms διά@pg Ἠσαΐας@ngmsp ὁ@dgms προφήτης@ngmsc λέγω@vppagms φωνή@nnfsc βοάω@vppagms ἐν@pd ὁ@ddfs ἔρημος@ndfsc ἑτοιμάζω@vdaa2p ὁ@dafs ὁδός@nafsc κύριος@ngmsc εὐθύς@anafpn ποιέω@vdpa2p ὁ@dafp τρίβος@nafpc αὐτός@rpgms 
Mat 3:4  αὐτός@rtnms δέ@cc ὁ@dnms Ἰωάννης@nnmsp ἔχω@viia3s ὁ@dans ἔνδυμα@nansc αὐτός@rpgms ἀπό@pg θρίξ@ngfpc κάμηλος@ngfsc καί@cc ζώνη@nafsc δερμάτινος@anafsn περί@pa ὁ@dafs ὀσφύς@nafsc αὐτός@rpgms ὁ@dnfs δέ@cc τροφή@nnfsc εἰμί@viia3s αὐτός@rpgms ἀκρίς@nnfpc καί@cc μέλι@nnnsc ἄγριος@annnsn 
Mat 3:5  τότε@b ἐκπορεύομαι@viim3s πρός@pa αὐτός@rpams Ἱεροσόλυμα@nnnpp καί@cc πᾶς@ainfsn ὁ@dnfs Ἰουδαία@nnfsp καί@cc πᾶς@ainfsn ὁ@dnfs περίχωρος@annfsn ὁ@dgms Ἰορδάνης@ngmsp 
Mat 3:6  καί@cc βαπτίζω@viip3p ἐν@pd ὁ@ddms Ἰορδάνης@ndmsp ποταμός@ndmsc ὑπό@pg αὐτός@rpgms ἐξομολογέω@vppmnmp ὁ@dafp ἁμαρτία@nafpc αὐτός@rpgmp 
Mat 3:7  ὁράω@vpaanms δέ@cc πολύς@anampn ὁ@dgmp Φαρισαῖος@ngmpp καί@cc Σαδδουκαῖος@ngmpp ἔρχομαι@vppmamp ἐπί@pa ὁ@dans βάπτισμα@nansc αὐτός@rpgms λέγω@viaa3s αὐτός@rpdmp γέννημα@nvnpc ἔχιδνα@ngfpc τίς@rqnms ὑποδείκνυμι@viaa3s σύ@rpd-p φεύγω@vnaa ἀπό@pg ὁ@dgfs μέλλω@vppagfs ὀργή@ngfsc 
Mat 3:8  ποιέω@vdaa2p οὖν@cc καρπός@namsc ἄξιος@anamsn ὁ@dgfs μετάνοια@ngfsc 
Mat 3:9  καί@cc μή@x δοκέω@vsaa2p λέγω@vnpa ἐν@pd ἑαυτοῦ@rxdmp πατήρ@namsc ἔχω@vipa1p ὁ@dams Ἀβραάμ@namsp λέγω@vipa1s γάρ@cc σύ@rpd-p ὅτι@cs δύναμαι@vipm3s ὁ@dnms θεός@nnmsc ἐκ@pg ὁ@dgmp λίθος@ngmpc οὗτος@rdgmp ἐγείρω@vnaa τέκνον@nanpc ὁ@ddms Ἀβραάμ@ndmsp 
Mat 3:10  ἤδη@b δέ@cc ὁ@dnfs ἀξίνη@nnfsc πρός@pa ὁ@dafs ῥίζα@nafsc ὁ@dgnp δένδρον@ngnpc κεῖμαι@vipp3s πᾶς@ainnsn οὖν@cc δένδρον@nnnsc μή@x ποιέω@vppanns καρπός@namsc καλός@anamsn ἐκκόπτω@vipp3s καί@cc εἰς@pa πῦρ@nansc βάλλω@vipp3s 
Mat 3:11  ἐγώ@rpn-s μέν@x σύ@rpa-p βαπτίζω@vipa1s ἐν@pd ὕδωρ@ndnsc εἰς@pa μετάνοια@nafsc ὁ@dnms δέ@cc ὀπίσω@pg ἐγώ@rpg-s ἔρχομαι@vppmnms ἰσχυρός@annmsc ἐγώ@rpg-s εἰμί@vipa3s ὅς@rrgms οὐ@b εἰμί@vipa1s ἱκανός@annmsn ὁ@danp ὑπόδημα@nanpc βαστάζω@vnaa αὐτός@rtnms σύ@rpa-p βαπτίζω@vifa3s ἐν@pd πνεῦμα@ndnsc ἅγιος@andnsn καί@cc πῦρ@ndnsc 
Mat 3:12  ὅς@rrgms ὁ@dnns πτύον@nnnsc ἐν@pd ὁ@ddfs χείρ@ndfsc αὐτός@rpgms καί@cc διακαθαρίζω@vifa3s ὁ@dafs ἅλων@nafsc αὐτός@rpgms καί@cc συνάγω@vifa3s ὁ@dams σῖτος@namsc αὐτός@rpgms εἰς@pa ὁ@dafs ἀποθήκη@nafsc ὁ@dans δέ@cc ἄχυρον@nansc κατακαίω@vifa3s πῦρ@ndnsc ἄσβεστος@andnsn 
Mat 3:13  τότε@b παραγίνομαι@vipm3s ὁ@dnms Ἰησοῦς@nnmsp ἀπό@pg ὁ@dgfs Γαλιλαία@ngfsp ἐπί@pa ὁ@dams Ἰορδάνης@namsp πρός@pa ὁ@dams Ἰωάννης@namsp ὁ@dgns βαπτίζω@vnap ὑπό@pg αὐτός@rpgms 
Mat 3:14  ὁ@dnms δέ@cc Ἰωάννης@nnmsp διακωλύω@viia3s αὐτός@rpams λέγω@vppanms ἐγώ@rpn-s χρεία@nafsc ἔχω@vipa1s ὑπό@pg σύ@rpg-s βαπτίζω@vnap καί@cc σύ@rpn-s ἔρχομαι@vipm2s πρός@pa ἐγώ@rpa-s 
Mat 3:15  ἀποκρίνομαι@vpapnms δέ@cc ὁ@dnms Ἰησοῦς@nnmsp λέγω@viaa3s πρός@pa αὐτός@rpams ἀφίημι@vdaa2s ἄρτι@b οὕτως@b γάρ@cc πρέπω@vppanns εἰμί@vipa3s ἐγώ@rpd-p πληρόω@vnaa πᾶς@aiafsn δικαιοσύνη@nafsc τότε@b ἀφίημι@vipa3s αὐτός@rpams 
Mat 3:16  βαπτίζω@vpapnms δέ@cc ὁ@dnms Ἰησοῦς@nnmsp εὐθύς@b ἀναβαίνω@viaa3s ἀπό@pg ὁ@dgns ὕδωρ@ngnsc καί@cc ἰδού@i ἀνοίγω@viap3p αὐτός@rpdms ὁ@dnmp οὐρανός@nnmpc καί@cc ὁράω@viaa3s ὁ@dans πνεῦμα@nansc ὁ@dgms θεός@ngmsc καταβαίνω@vppaans ὡσεί@b περιστερά@nafsc καί@cc ἔρχομαι@vppmans ἐπί@pa αὐτός@rpams 
Mat 3:17  καί@cc ἰδού@i φωνή@nnfsc ἐκ@pg ὁ@dgmp οὐρανός@ngmpc λέγω@vppanfs οὗτος@rdnms εἰμί@vipa3s ὁ@dnms υἱός@nnmsc ἐγώ@rpg-s ὁ@dnms ἀγαπητός@annmsn ἐν@pd ὅς@rrdms εὐδοκέω@viaa1s 
Mat 4:1  τότε@b ὁ@dnms Ἰησοῦς@nnmsp ἀνάγω@viap3s εἰς@pa ὁ@dafs ἔρημος@nafsc ὑπό@pg ὁ@dgns πνεῦμα@ngnsc πειράζω@vnap ὑπό@pg ὁ@dgms διάβολος@ngmsc 
Mat 4:2  καί@cc νηστεύω@vpaanms ἡμέρα@nafpc τεσσεράκοντα@ac---n καί@cc νύξ@nafpc τεσσεράκοντα@ac---n ὕστερος@b πεινάω@viaa3s 
Mat 4:3  καί@cc προσέρχομαι@vpaanms ὁ@dnms πειράζω@vppanms λέγω@viaa3s αὐτός@rpdms εἰ@cs υἱός@nnmsc εἰμί@vipa2s ὁ@dgms θεός@ngmsc λέγω@vdaa2s ἵνα@cs ὁ@dnmp λίθος@nnmpc οὗτος@rdnmp ἄρτος@nnmpc γίνομαι@vsam3p 
Mat 4:4  ὁ@dnms δέ@cc ἀποκρίνομαι@vpapnms λέγω@viaa3s γράφω@vixp3s οὐ@b ἐπί@pd ἄρτος@ndmsc μόνος@andmsn ζάω@vifm3s ὁ@dnms ἄνθρωπος@nnmsc ἀλλά@cc ἐπί@pd πᾶς@aidnsn ῥῆμα@ndnsc ἐκπορεύομαι@vppmdns διά@pg στόμα@ngnsc θεός@ngmsc 
Mat 4:5  τότε@b παραλαμβάνω@vipa3s αὐτός@rpams ὁ@dnms διάβολος@nnmsc εἰς@pa ὁ@dafs ἅγιος@anafsn πόλις@nafsc καί@cc ἵστημι@viaa3s αὐτός@rpams ἐπί@pa ὁ@dans πτερύγιον@nansc ὁ@dgns ἱερόν@ngnsc 
Mat 4:6  καί@cc λέγω@vipa3s αὐτός@rpdms εἰ@cs υἱός@nnmsc εἰμί@vipa2s ὁ@dgms θεός@ngmsc βάλλω@vdaa2s σεαυτοῦ@rxams κάτω@b γράφω@vixp3s γάρ@cc ὅτι@cs ὁ@ddmp ἄγγελος@ndmpc αὐτός@rpgms ἐντέλλομαι@vifm3s περί@pg σύ@rpg-s καί@cc ἐπί@pg χείρ@ngfpc αἴρω@vifa3p σύ@rpa-s μήποτε@cs προσκόπτω@vsaa2s πρός@pa λίθος@namsc ὁ@dams πούς@namsc σύ@rpg-s 
